RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30
3101,0,Los Angeles County,county,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",06,037,1781.6627044798397,1795.0816651701357,1812.6056601957866,1826.495112914926,1842.6825675437558,1853.9581282863749,1869.2938420162277,1878.753979134759,1891.5889915942976,1897.1574366358375,1904.7178226588749,1911.4718251077056,1922.002825660199,1935.3159131090795,1950.7094464761026,1962.5498719769826,1975.710496778128,1986.280168040338,1999.7899965283204,2007.3070510498349,2013.2097900396257,2015.5035539262042,2016.698286742257,2021.6648503760564,2036.6061886726159,2053.4509298281278,2073.8873111308044,2086.5970288963235,2102.3273245838486,2112.0115978013646,2123.7576699411734,2129.099691636151,2135.0075131862877,2137.399900665983,2142.6915479556524,2147.236277410443,2158.3070761995377,2172.1492610421046,2184.55962365474,2194.7718941355047,2203.499563305523,2216.8954580197856,2229.1901380098366,2240.1485377739873,2244.919082056983,2248.766035450772,2253.641223943858,2258.684992815477,2264.7463705965324,2269.413931577754,2283.391887386798,2295.2067307304965,2308.719401765307,2318.046481178095,2326.866968563033,2333.5782847279597,2337.087131038897,2338.6721958093794,2339.5660921819826,2342.7109218251376,2347.8200434068694,2352.149367040388,2352.5081159923684,2343.950433065621,2335.2609890318586,2329.812859209071,2330.8784140054195,2329.797844450816,2324.0553238485695,2319.8481372293695,2318.0369071329674,2315.8062676724303,2319.454492458416,2324.1966712325534,2335.052106907565,2345.639462327138,2364.5595424018848,2396.2692485018633,2435.3685732261415,2479.4366621761515,2513.520605660805,2536.392256808941,2549.298797610539,2567.416426920726,2586.8804481872576,2613.388045954867,2635.8784298758546,2663.29872154948,2686.5989619854026,2708.449239254617,2729.1024061679773,2746.517812473563,2757.174686913258,2755.3141285297065,2750.2899023086024,2745.4229742807956,2747.8535334557573,2754.232111227968,2767.9048165468607,2778.9746217641846,2786.2166364289765,2790.9039997540153,2796.4527178917115,2804.7327890697666,2806.9963836003176,2806.899124402435,2798.249592893329,2793.4371824365185,2796.167351866921,2805.1050182764993,2820.2431949762113,2831.9677379245954,2846.8447280324585,2857.182644272316,2869.4227947718173,2874.640119417456,2880.428449479812
139,1,Cook County,county,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",17,031,1457.1699915592371,1465.8490830908243,1477.087180478309,1486.191771350551,1497.774313517154,1508.4449317883807,1514.0926174496851,1517.1333919525848,1511.5791035728503,1503.483397851925,1494.327488510563,1493.5577770178663,1502.7430389547355,1515.1600153854545,1527.7953541851618,1535.6557211189597,1543.1254634415227,1552.4095666966894,1559.678602585238,1564.5875526816933,1557.325061458743,1545.6777730558401,1531.0266056583685,1524.149970327431,1530.6834024239538,1546.9262183064886,1567.094444950674,1581.3869881843452,1592.9684036311933,1599.3901643910879,1601.4786910143791,1596.239107108016,1588.4373316457543,1574.9930657873292,1565.3404779907162,1562.4072501509663,1572.0021682285858,1586.219517310249,1599.8293140529847,1610.9706493958586,1621.3422264647954,1631.061033723584,1636.6226106363854,1634.3242298886298,1622.089740522975,1608.3374371329191,1598.8306062504614,1599.1210791362237,1608.3852891119632,1620.197912738904,1637.5405367589394,1651.4697337491582,1664.284746256562,1671.6949860214636,1675.4531777634336,1676.6479391975688,1671.5982350231425,1664.0801145290386,1654.5107252918615,1648.698215763961,1656.9791685273235,1669.7450659745466,1684.5151539834744,1685.626096166116,1683.6642657944406,1680.0817897786535,1677.1396842145682,1668.1164674526156,1649.1076185512825,1621.615367167615,1597.452087782036,1587.474577912748,1589.1223281759853,1602.8195054887224,1621.7496348210445,1650.7529067252658,1679.7267888032484,1706.4349799892004,1725.000779018077,1736.4981011680934,1740.3130029273875,1738.3817169997913,1735.8200258851668,1740.9711100195689,1755.6200875279717,1774.0001823969299,1796.2038922975487,1820.0916627560478,1846.9424605451557,1867.9649184853135,1884.8914872947803,1891.9928097225159,1890.9534446404982,1886.0184724440446,1880.857483713306,1883.0967519128485,1891.1899052966437,1906.2558142355995,1923.8069243275907,1943.632873750132,1966.311541835849,1986.372554467432,1997.5836910893986,2002.171487721353,1996.1636563832242,1984.732575155694,1974.124525659569,1976.2220406523736,1987.8214676695668,2005.792891775389,2022.351514898468,2045.2459889795246,2064.4986880079787,2081.746261416701,2088.5259765680466,2088.0990685932147,2082.42255801061
1090,2,Harris County,county,TX,TX,"Houston-The Woodlands-Sugar Land, TX",48,201,1218.6699670842618,1221.4571547955227,1227.5253911051475,1237.644457253836,1247.8826975896204,1256.4361369237317,1257.6850883741713,1259.4790496195926,1257.6903772950975,1255.1858868040624,1251.5418302140138,1249.1820863170592,1250.6692203335979,1253.2047432382394,1259.7278671952392,1264.3107203758989,1266.8206917761577,1266.810163912038,1266.4144992390927,1264.2980450561174,1259.6472276246436,1256.4898132084272,1251.5493337824425,1249.150171678608,1249.0957368849688,1257.0179044447086,1265.587525922652,1269.9266233012854,1276.9788382698307,1278.1244483433218,1279.1316362165132,1274.1359601106676,1281.0707003580305,1289.830464892216,1302.2775238183467,1309.64637021583,1312.251076993265,1317.3414392113373,1317.787800993851,1325.748782397811,1328.308711696403,1333.876421019336,1333.1976835809044,1331.5910160224944,1327.140820179058,1328.2165944429435,1330.3629388878358,1331.2161143272324,1331.0796081483443,1328.3825875119906,1334.5467407092617,1339.7222774988293,1350.0656879896094,1356.940407317789,1361.1232805427169,1360.898100195937,1357.332673331498,1356.3908509553119,1355.1982433239154,1358.4727143217756,1361.2336601817256,1368.2184171871238,1374.2535620642716,1371.0063340901963,1364.26102081343,1357.6353547646252,1361.5874979167259,1365.4691985517902,1365.7901997635504,1366.5342864055817,1367.320340141717,1367.1539875690808,1368.5825719492468,1369.6862277736682,1377.0885803660283,1389.4644624196385,1410.041516068916,1437.7134537945842,1462.6317346454189,1485.610713514528,1498.8023852061383,1506.8408858081493,1511.3598050432552,1514.3678828089173,1520.653220986109,1530.0013124764384,1540.824123705449,1551.8979787737692,1563.3639305837055,1578.5115962813463,1591.1575667351385,1597.8864744455052,1595.7984701841879,1590.7713959250946,1585.2812787413668,1584.0247617717068,1589.4801032162225,1597.3829063319129,1608.440876864077,1612.8787881099813,1621.7159777811262,1628.7417687484485,1635.5452386621791,1636.7535761501167,1633.7825346495927,1629.5726090292121,1626.2008183670907,1626.737488065621,1631.1678614052594,1636.331297557711,1639.9988701903753,1646.6895324632283,1655.494792344168,1664.299361409827,1668.6713935615142,1672.1110326608455,1673.6750019312356
2402,3,Maricopa County,county,AZ,AZ,"Phoenix-Mesa-Chandler, AZ",04,013,951.7097793848156,967.2421972263004,974.7580778657343,988.5335342025955,988.6260653965123,996.6631175022234,996.6205954938588,998.2399062307311,1001.2648614845953,1004.2538530758568,1007.7585956733444,1009.3098227447339,1014.7511825351054,1020.3743665056985,1027.6678204324191,1034.9404095497753,1042.5655055903565,1049.6472318324302,1053.7262150400563,1055.5621579462654,1056.9516453824265,1056.6249455775899,1058.1901579232806,1058.9446168283328,1065.533023080443,1073.9256384163086,1086.1987584461704,1096.0372233021833,1106.2243931801415,1112.5079139772315,1117.85028636275,1120.0017044488075,1122.3124295355337,1124.395277325011,1127.569238653507,1130.0041503594975,1134.2951826848441,1140.2295204054292,1152.647434310713,1166.5800471999673,1178.4820463199767,1186.8762604557076,1193.7786044318227,1199.9382239117865,1206.140905242312,1210.3037255807324,1215.3619559604865,1220.724642714964,1224.8657928819052,1234.2391043136406,1244.791782956904,1260.8000814141676,1272.5004694328297,1283.2890742608538,1291.4141103051913,1299.0705430846067,1304.088235410557,1307.4711654827672,1312.6785601370568,1321.2816546477538,1331.7324838328468,1342.6623701679223,1348.115715388979,1347.353605072228,1345.483463031184,1348.679548838848,1362.4525854449166,1378.8903198482874,1395.1662516647662,1409.6022248695429,1423.0775842531536,1434.519045493057,1446.6165869915571,1459.6212745483008,1481.1940585437053,1510.4044112948015,1552.0336826009761,1599.48825113623,1650.1925282576,1694.5296621252553,1728.5621597646511,1751.064634805221,1764.8313188335246,1774.6379216783407,1783.9948549627113,1794.6923213255845,1808.6476081520639,1821.0677065928562,1830.6302436323601,1838.107325671105,1843.977149635759,1844.874625572724,1837.746662589987,1826.5715528232465,1817.0178172206668,1811.9425466269918,1808.4748246083116,1812.9187872692014,1825.4819842134627,1834.2374595346487,1839.0540130563986,1837.5872879786764,1841.4513765520494,1841.3078307411624,1839.0483482383104,1834.1666219027843,1827.1145839642547,1821.537604853612,1821.6895575518079,1830.4998200775524,1841.3256046013912,1851.1409821055788,1856.562566972708,1856.8936564258652,1857.5642394120996,1857.0507854343255,1857.595464210029
2841,4,San Diego County,county,CA,CA,"San Diego-Chula Vista-Carlsbad, CA",06,073,1698.8158980377802,1710.3058545651563,1719.7202501565523,1722.8535285154098,1734.7178948615456,1743.0082352462514,1760.4522727970837,1771.0967467135667,1779.778245925082,1783.6313683139683,1782.0381644751678,1790.4528930233598,1796.018196942799,1805.0411712889736,1813.4296049797936,1823.0885399182341,1837.6036621512967,1852.366738737914,1865.5051693695368,1872.8733858324301,1876.1354804738176,1878.4472615134034,1878.9734617261329,1881.8020920111005,1888.0179641470545,1904.4338223501613,1922.479970868397,1941.0420473652905,1957.2706220045031,1969.7452274561356,1982.4940331698056,1988.0782118302711,1991.538744670062,1992.0852102688816,1992.0007202516933,1994.2724060177732,2004.1982898574252,2017.0414277755606,2031.7867015397173,2042.8257365704546,2059.3609332789106,2070.5029520710414,2081.874367501022,2089.165146053039,2094.632925352438,2094.895157963905,2089.888216347036,2092.8171490353448,2097.4924019502205,2105.387481413154,2111.3425079644003,2121.4995864294533,2134.1551551778803,2146.3223258244434,2158.5191093244025,2166.934229201281,2168.950354587166,2169.173992616264,2169.50869031158,2174.5180997485304,2179.694581643584,2185.046676404477,2188.2546642679686,2179.156244946552,2172.1636809489314,2171.103761921004,2182.577794496394,2192.455763837983,2204.3330642830383,2220.9930661028607,2235.6164475783617,2246.704015945729,2253.43360803701,2264.341188027576,2282.609580626699,2311.27901265617,2349.2627057041664,2387.5012745747226,2438.36356350199,2492.3619841153777,2550.4727355335717,2586.385935855176,2609.415339001315,2626.243752242865,2645.2204563905807,2673.6735529101625,2703.484966433419,2749.201288299037,2794.381119582903,2843.066345965331,2877.1300712621387,2906.5213116924365,2912.7602204899763,2906.64222489792,2885.8381636964273,2875.1611263435248,2867.7304580380296,2876.689882308062,2901.673016538188,2933.875287134707,2968.540841204722,2991.5480584845673,3010.8020070815214,3018.2703906109373,3015.6679630751228,3001.988919483252,2980.069664570212,2962.507492729851,2954.0086515592916,2964.153800128364,2984.01556678158,3010.5831668922706,3029.9304238721325,3048.016096641323,3059.6072553233826,3062.32502242006,3059.9888053678183
1286,5,Orange County,county,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",06,059,1958.5520932643599,1969.6675718447752,1979.9415311933299,1993.8056178263382,2004.4896485181725,2017.9439617727708,2028.581263428594,2041.5436137116917,2044.5763757448683,2049.4329598497497,2045.8919499645076,2050.776126007863,2056.4947540110734,2067.122330791764,2072.56905925394,2078.2035120502596,2093.660819495189,2112.100110776888,2124.7694029353397,2126.0544331674405,2129.0119392721554,2126.7187681862656,2132.9140998236376,2127.450015310783,2138.637477738684,2150.5090913800786,2174.37503166743,2191.1907164012046,2200.304709186969,2210.0181787765223,2215.555170024473,2221.4948078252023,2223.086937166726,2219.949631768331,2222.7647218083443,2224.867308243567,2235.7594101760033,2242.0398612670597,2254.235469776688,2262.0924081729463,2269.582338600696,2276.150689280159,2281.833320224886,2283.3464342166562,2284.5077576782064,2286.841119921857,2292.007419180218,2295.4966461618883,2298.4079473682054,2305.0447963560796,2314.2304023760835,2321.548749132266,2331.5457832142047,2339.429120907592,2350.344885467517,2353.9015333608704,2356.6599252653536,2357.088002164418,2362.5925161439463,2363.4184074640198,2372.8670278982927,2378.2616900291396,2384.4684016184306,2367.7930596874953,2351.91096403022,2340.361687952999,,2354.841443064393,2369.9925446799157,2385.332215050059,2394.3683287641725,2401.463100126188,2414.1322977765744,2434.9414299700597,2458.635241960078,2479.5629952605095,2508.747102189535,2556.1062179410255,2631.031481533786,,2799.622712600664,2844.6310801632244,2868.1500569907166,2881.532550278934,2899.140612848108,2918.982563447073,2948.2458873892174,2982.7856061211464,3014.0419061185153,3043.38025465318,3064.51996227746,3075.2499648481817,3070.7836434638702,3058.3349860896155,3042.8043299874257,3028.148405818795,3017.4282701594216,3017.140930208925,3027.381398067438,3042.73710361016,3060.8699360572673,3082.2385003757327,3115.621427632126,3146.473245212163,3159.695299940361,3159.830650317479,3145.404381492708,3142.3973725136243,3139.6216220137403,3148.7125307943375,3152.007629345379,3161.7962498765132,3174.9074923646344,3195.7718192410293,3214.1046602137267,3227.760783726911,3234.761583286336
581,6,Kings County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,047,2359.413096559514,2376.614686533414,2401.16738636847,2419.725758953935,2443.2637371454334,2471.19555149651,2489.678182748103,2501.296574335616,2515.7991963058917,2526.6395827636793,2517.6047463656682,2493.386457337346,2480.3853423840333,2484.814008323911,2499.802938302381,2506.687769270339,2512.862632641064,2524.637836216832,2543.151967746001,2559.7729405391106,2567.163272113156,2564.229004064119,2566.285864901132,2552.9858145064445,2543.452542402787,2531.1524701204685,2535.70106611296,2549.4748627826993,2562.553300618977,2578.768669549523,2595.9440921454034,2610.9597343516934,2610.365062110476,2591.624564915516,2570.507654672399,2557.4037187663985,2557.427986642693,2559.518130538036,2573.228634729837,2590.8168575402306,2609.9799817677804,2625.2284635663714,2636.4182476981905,2647.512189314389,2649.50035957861,2640.6371390285076,2626.2096838963903,2608.5076631521138,2611.4737839586383,2624.1020331233162,2650.892248337596,2668.375054787578,2692.7004270081325,2709.383056933252,2734.203225899951,2750.3548743616443,2766.006437993566,2769.0981332826595,2765.3676182936483,2756.6593462380515,2755.9082614610525,2765.5454619437915,2782.5234471483745,2775.911684004017,2755.9926174613697,2723.1803621936388,2699.6568458055804,2662.646353360656,2613.864749351601,2568.2394638033875,2534.1316629548414,2515.879963582913,2507.928038849018,2515.595250947032,2536.220861639448,2569.8017249607574,2609.7077700748855,2663.1521032840246,2718.6255067600077,2774.4727801025006,2823.730133409916,2850.527958397925,2873.1237297047146,2881.3834300980534,2911.668999502943,2946.037480628198,2998.565716326768,3046.077555374893,3109.3735282189555,3173.7314261410875,3236.1039107861643,3278.1194193572414,3289.1251756692013,3279.218060140567,3238.8781430202907,3205.280500005834,3195.154365037379,3209.6994612459202,3232.667219536427,3262.58372598986,3298.7503440254663,3342.080250800506,3370.7588814679225,3389.217747801654,3395.934860082873,3380.7979927235947,3340.864307261471,3310.965835647571,3308.25284864363,3334.2613553036563,3364.2288988256037,3391.102257612457,3430.9229257358825,3467.5215995402286,3493.719259034506,3494.553307026914,3481.388993787828
2964,7,Miami-Dade County,county,FL,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",12,086,1658.9722608812722,1670.0463564357872,1682.3812749964238,1692.3779096158478,1703.0554224381312,1710.741061031913,1719.2568765600283,1725.599764609959,1733.7156509323233,1735.72319306998,1742.4387458407161,1746.7508546009135,1753.6868159810142,1757.3141152366097,1761.139580644133,1760.7454001540316,1759.986782374026,1757.0455312808174,1757.6053223502886,1754.619328492714,1754.5941064192918,1752.035375444435,1749.8869584254653,1745.0864146570073,1750.242629959411,1756.4875502817868,1766.5430970509647,1767.8534531097016,1770.5324524402308,1771.5221506778225,1772.772118390793,1775.776025722566,1778.9345071365178,1783.3087225326435,1783.135871045811,1783.8071944978376,1786.1037476676897,1791.0271875458354,1796.1423492006365,1801.301519568495,1804.6707161770157,1810.0614048341724,1814.556676433078,1820.2492456346877,1823.3226510653722,1827.1479029613245,1829.9073362170734,1833.2374104662665,1834.7175504649965,1832.5918209208837,1835.5028767493106,1840.0771095765394,1847.9824590391434,1851.3682291047626,1852.1849276920389,1854.7150273947445,1856.2852407263222,1864.6559643857122,1874.5539452740509,1884.4306339924347,1887.959149753984,1890.4687107517118,1888.5822124958158,1878.5526113883122,1864.6025497123248,1859.8111320775092,1862.8902858035406,1864.323144957694,1860.1121989522983,1863.7410822252486,1878.2663196330968,1897.08047573389,1921.7402221764733,1957.6327135508673,1995.8754719225872,2038.9174740981043,2082.023530387659,2139.004902242461,2207.236445771708,2272.4423681647586,2330.955112586191,2376.7726074716093,2421.439755322024,2474.8324071526486,2522.851001381382,2586.72643687318,2644.60248302812,2709.572130587284,2757.0778672112733,2792.4563745996893,2817.707761620613,2828.7474712484045,2837.0884288908624,2832.267898546955,2829.6247815893403,2831.020523120266,2834.521387249342,2842.8323048383904,2853.367639122138,2867.532867017748,2873.377989483501,2873.3325015537557,2871.5248095452826,2867.3199190870364,2864.6718366661357,2865.083475209062,2873.8546466519797,2872.977568440573,2875.3388272340694,2884.297286731214,2905.723573760491,2924.214066943379,2933.808198903454,2933.7696089595697,2936.512397265339,2935.475446812885,2941.730409421059
978,8,Dallas County,county,TX,TX,"Dallas-Fort Worth-Arlington, TX",48,113,1072.566295446238,1074.8293445611073,1081.7165631152748,1096.6090157861304,1109.645458592302,1119.3823365778928,1128.1792877173734,1132.1581893241953,1134.2814283740843,1134.6857702190557,1138.6254886630568,1142.2906775817114,1145.0271980410625,1149.5178079955328,1156.492082783029,1167.4776577364419,1176.3463427291385,1186.4875220618499,1189.7117677050624,1193.8961612479964,1194.3435907442315,1199.9283045954319,1203.063831185331,1206.9279663706095,1213.5955549787823,1217.6162439878567,1228.7039575427023,1237.0733936628383,1250.3986229746083,1255.6751816948567,1260.3505348764352,1259.7054101432175,1259.4299037573523,1256.5934402904695,1264.8463042341375,1268.9910286301517,1274.0265400013127,1279.2323571326147,1281.926365313246,1285.9595007935861,1285.5013273750055,1297.5151564292298,1303.5652279580397,1307.9646922529928,1300.686837370387,1302.6462919429491,1304.3372449059282,1308.4064655341729,1313.7628159717065,1316.732370680869,1327.0277463715781,1334.5516901261406,1342.9977184682584,1354.6382069579338,1357.1719190181832,1361.2130972571756,1359.3119043237161,1358.201301989332,1353.3674895174026,1345.7915073442773,1350.1254953924315,1356.6900715145393,1365.0326808594432,1361.4410261668945,1357.67392824895,1355.500264289022,1356.9391087655717,1359.5159762211995,1361.4006874278477,1364.507995192087,1364.0057488022155,1366.5916124401433,1369.666253218144,1379.7648713481324,1388.843876506837,1407.443285755392,1430.9302522875548,1464.9150125977574,1499.6900834037965,1531.232989829584,1554.9009112500887,1568.13013704668,1578.3322207936344,1585.0390273678609,1597.1246306746382,1613.0265009623624,1626.6267254264235,1646.8903043550742,1668.9011356298274,1704.0877101099102,1726.3490072697437,1735.154391261256,1729.4203578251818,1713.7052080267972,1701.7793938046223,1689.6152823489806,1688.1913177075216,1689.5770470719374,1699.3836484808626,1706.043046732699,1713.94140972573,1719.550974220511,1725.7080087926388,1727.1421155286318,1722.4989687014308,1716.5208236625624,1712.3445811388094,1706.8488040354232,1704.5387350285882,1699.0840486985717,1698.123262414957,1698.6415315182999,1706.4577496273491,1716.9953324291846,1726.582286559493,1732.4913910831367,1727.7743126731575
2832,9,Riverside County,county,CA,CA,"Riverside-San Bernardino-Ontario, CA",06,065,1387.3660147562002,1389.3438610011347,1391.9505542706504,1399.5715790482082,1407.4733966162248,1419.0891369172402,1429.0327913975775,1433.8173562062864,1440.5813981889103,1448.1105966493499,1454.7254777247242,1459.0352654798983,1458.2533809202878,1466.2624567430246,1469.2777858323855,1470.318611333481,1474.3183772218251,1480.0542487277357,1491.8749790805382,1497.2247934177205,1510.9073027958168,1513.1602804665924,1520.9484745447858,1517.9316200927449,1533.4491142185882,1543.76849117958,1557.4358249503382,1568.4751697772126,1576.4212506832378,1587.8356011285023,1595.9812744574406,1608.1562412607373,1613.411795133628,1618.510763015396,1622.989991326819,1626.8855336833296,1634.6067718562483,1645.3485676789571,1656.3359253823387,1659.8507910432033,1661.9990923359305,1670.2424620717006,1681.0138306183046,1691.884202779524,1702.6852719640412,1714.452249028266,1721.5537269936,1727.18406881053,1726.8239550263697,1729.3272114270576,1735.4616069844683,1747.0672771007876,1758.5660850815311,1766.6200400595644,1775.9346907503832,1786.118709859775,1792.4709188435384,1798.588335632294,1800.867466458264,1806.4100211525422,1809.3163508113514,1817.0185714523295,1821.298518526284,1817.1746871794214,1811.944832821007,1820.9360528072154,1843.9793710821975,1875.998092400949,1904.769412421043,1932.2726658440904,1956.6878978456316,1977.6387105871918,2000.7979259839585,2024.864012232063,2050.8650963418504,2067.343233392319,2102.61417606492,2139.5662900391826,2197.5162128682023,2241.6904714962648,2286.0412508387185,2306.933324892141,2327.0531415322694,2330.041198982585,2351.649634395689,2365.72991756321,2402.658200662591,2429.237085473931,2449.79975801226,2464.5906442719265,2477.3690137479584,2492.5823226566495,2499.554302910419,2494.7766725773163,2485.2558306414103,2476.8479648543844,2479.086854109831,2484.8389146515856,2494.247997898403,2501.66946689076,2508.1184987745596,2508.680626021586,2512.3281475522613,2522.74460915707,2529.68235754833,2551.0211967153537,2550.7665611139114,2558.1065976662617,2543.776522695767,2558.7752107639462,2566.029004079015,2583.005363208422,2591.8420787007813,2596.0328425088774,2608.9532956303033,2613.457563261391,2633.2441422102734
